STRATUM,STRATUM_AREA,082372-UNIT,082521-UNIT,160230-UNIT,160617-UNIT,160855-GBGOM,160855-SNEMA,160855-UNIT,161703-UNIT,161706-UNIT,161722-UNIT,164499-NORTH,164499-SOUTH,164712-GBK,164712-GOM,164712-WGOM,164727-UNIT,164730-NORTH,164730-SOUTH,164732-UNIT,164744-GBK,164744-GOM,164791-NORTH,164791-SOUTH,164793-UNIT,166774-UNIT,167687-NORTH,167687-SOUTH,167687-UNIT,168546-UNIT,168559-UNIT,169182-BIG,169182-UNIT,171341-UNIT,172414-UNIT,172567-UNIT,172735-BIG,172735-BIGSE,172735-UNIT,172746-GBGOM,172746-SNEMA,172873-UNIT,172877-UNIT,172905-GBK,172905-GOM,172905-GOMWF,172905-SNEMA,172909-CCGOM,172909-GBK,172909-SNEMA,172933-UNIT,564130-GBGOM,564130-SNEMA,564130-UNIT,564136-GBGOM,564136-SNEMA,564136-UNIT,564139-GBGOM,564139-SNEMA,564139-UNIT,564145-GBGOM,564145-SNEMA,564145-UNIT,564149-GBGOM,564149-SNEMA,564149-UNIT,564151-GBGOM,564151-SNEMA,564151-UNIT,630979-UNIT,(blank),164744-EGB,164712-EGB
3100,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3110,242,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3120,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3130,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3140,110,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3150,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3160,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3170,238,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3180,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3190,216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
